https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BRL,tradecount
1695168000000,2023-09-20,ADABRL,1.249,1.251,1.227,1.233,147208.9,182393.393,562
1695081600000,2023-09-19,ADABRL,1.231,1.259,1.226,1.249,179792.2,224499.4747,481
1694995200000,2023-09-18,ADABRL,1.214,1.249,1.199,1.229,168909.3,208392.5535,557
1694908800000,2023-09-17,ADABRL,1.227,1.232,1.199,1.214,69386.8,84362.2361,372
1694822400000,2023-09-16,ADABRL,1.226,1.24,1.219,1.228,97560.9,119700.8876,477
1694736000000,2023-09-15,ADABRL,1.234,1.252,1.2,1.224,197416.4,240994.5442,909
1694649600000,2023-09-14,ADABRL,1.232,1.245,1.215,1.233,203192.6,249656.846,808
1694563200000,2023-09-13,ADABRL,1.221,1.239,1.211,1.231,191046.3,234511.8202,771
1694476800000,2023-09-12,ADABRL,1.2,1.247,1.193,1.221,244697.2,299260.1134,965
1694390400000,2023-09-11,ADABRL,1.25,1.25,1.176,1.2,384204.2,462608.2118,1362
1694304000000,2023-09-10,ADABRL,1.272,1.272,1.22,1.248,376077.5,470384.4401,878
1694217600000,2023-09-09,ADABRL,1.276,1.282,1.268,1.272,103073.3,131267.9779,534
1694131200000,2023-09-08,ADABRL,1.291,1.297,1.266,1.275,209783.5,268528.8355,790
1694044800000,2023-09-07,ADABRL,1.285,1.298,1.268,1.292,104324.4,133734.0478,666
1693958400000,2023-09-06,ADABRL,1.287,1.302,1.265,1.287,163344.3,209045.1525,719
1693872000000,2023-09-05,ADABRL,1.269,1.291,1.26,1.287,125343.8,160401.8349,625
1693785600000,2023-09-04,ADABRL,1.278,1.294,1.256,1.272,210475.3,266931.7736,649
1693699200000,2023-09-03,ADABRL,1.274,1.279,1.264,1.277,127406.9,161969.076,452
1693612800000,2023-09-02,ADABRL,1.268,1.282,1.265,1.277,82899.6,105593.463,472
1693526400000,2023-09-01,ADABRL,1.271,1.288,1.25,1.268,548005.9,689426.3192,853
1693440000000,2023-08-31,ADABRL,1.304,1.306,1.245,1.272,284590.0,364104.7805,959
1693353600000,2023-08-30,ADABRL,1.333,1.333,1.279,1.304,256983.8,333303.938,980
1693267200000,2023-08-29,ADABRL,1.313,1.37,1.274,1.33,329476.2,438934.5313,1007
1693180800000,2023-08-28,ADABRL,1.292,1.321,1.265,1.312,185926.5,241800.5943,692
1693094400000,2023-08-27,ADABRL,1.282,1.305,1.279,1.295,81521.6,105090.5322,401
1693008000000,2023-08-26,ADABRL,1.278,1.286,1.265,1.284,75087.9,95906.3033,468
1692921600000,2023-08-25,ADABRL,1.301,1.326,1.27,1.28,225297.2,289371.4021,781
1692835200000,2023-08-24,ADABRL,1.316,1.327,1.284,1.304,179134.4,233918.6162,740
