https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BUSD,Volume BRL,tradecount
1695168000000,2023-09-20,BUSDBRL,4.895,4.906,4.868,4.905,452437.8,2210990.2201,1163
1695081600000,2023-09-19,BUSDBRL,4.889,4.902,4.877,4.896,218401.4,1067987.5952,1010
1694995200000,2023-09-18,BUSDBRL,4.904,4.905,4.872,4.889,367753.8,1798008.5199,1174
1694908800000,2023-09-17,BUSDBRL,4.906,4.912,4.902,4.903,77145.7,378505.049,575
1694822400000,2023-09-16,BUSDBRL,4.892,4.912,4.888,4.905,124029.5,608102.7083,772
1694736000000,2023-09-15,BUSDBRL,4.908,4.915,4.886,4.891,306219.8,1499748.0859,1247
1694649600000,2023-09-14,BUSDBRL,4.949,4.949,4.892,4.907,290960.4,1431019.4618,1237
1694563200000,2023-09-13,BUSDBRL,4.973,4.985,4.927,4.948,444441.4,2201172.0015,1386
1694476800000,2023-09-12,BUSDBRL,4.954,4.989,4.943,4.972,521232.8,2590134.1679,1737
1694390400000,2023-09-11,BUSDBRL,5.013,5.021,4.953,4.954,608727.0,3028945.6531,2158
1694304000000,2023-09-10,BUSDBRL,5.017,5.032,5.008,5.013,325285.2,1633632.9194,1380
1694217600000,2023-09-09,BUSDBRL,5.012,5.021,5.001,5.018,219647.6,1100978.1269,971
1694131200000,2023-09-08,BUSDBRL,5.006,5.019,4.999,5.011,309547.6,1550416.6098,1539
1694044800000,2023-09-07,BUSDBRL,4.993,5.01,4.992,5.005,205927.0,1030572.393,1227
1693958400000,2023-09-06,BUSDBRL,4.984,5.014,4.976,4.992,492917.0,2462524.1512,1768
1693872000000,2023-09-05,BUSDBRL,4.963,5.007,4.955,4.985,717844.2,3577694.2685,1985
1693785600000,2023-09-04,BUSDBRL,4.991,5.0,4.939,4.963,495098.6,2454794.1701,2109
1693699200000,2023-09-03,BUSDBRL,4.981,4.999,4.977,4.992,168957.6,842674.3971,1207
1693612800000,2023-09-02,BUSDBRL,4.971,4.99,4.971,4.981,405500.5,2020870.0734,1892
1693526400000,2023-09-01,BUSDBRL,4.981,4.986,4.93,4.972,938285.4,4655245.7171,2447
1693440000000,2023-08-31,BUSDBRL,4.904,4.989,4.892,4.983,889041.5,4387957.3339,2930
1693353600000,2023-08-30,BUSDBRL,4.885,4.911,4.872,4.905,429485.8,2102309.6532,1518
1693267200000,2023-08-29,BUSDBRL,4.902,4.928,4.879,4.884,690358.1,3379458.3696,2344
1693180800000,2023-08-28,BUSDBRL,4.918,4.935,4.9,4.9,459536.3,2259269.6012,1760
