https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CHZ,Volume BRL,tradecount
1695168000000,2023-09-20,CHZBRL,0.291,0.293,0.285,0.292,121297.0,34994.053,87
1695081600000,2023-09-19,CHZBRL,0.287,0.292,0.286,0.29,133774.0,38746.339,91
1694995200000,2023-09-18,CHZBRL,0.279,0.292,0.276,0.287,159468.0,45600.42,140
1694908800000,2023-09-17,CHZBRL,0.29,0.291,0.277,0.278,145085.0,41156.156,123
1694822400000,2023-09-16,CHZBRL,0.29,0.295,0.288,0.292,70650.0,20613.152,88
1694736000000,2023-09-15,CHZBRL,0.283,0.291,0.281,0.29,299190.0,85574.67,124
1694649600000,2023-09-14,CHZBRL,0.28,0.283,0.277,0.281,162753.0,45635.301,95
1694563200000,2023-09-13,CHZBRL,0.276,0.284,0.274,0.279,223568.0,62315.617,142
1694476800000,2023-09-12,CHZBRL,0.273,0.283,0.273,0.276,336891.0,93925.613,193
1694390400000,2023-09-11,CHZBRL,0.286,0.288,0.271,0.273,358480.0,99990.144,213
1694304000000,2023-09-10,CHZBRL,0.296,0.297,0.278,0.287,287040.0,83068.225,175
1694217600000,2023-09-09,CHZBRL,0.296,0.298,0.295,0.296,58351.0,17299.559,64
1694131200000,2023-09-08,CHZBRL,0.298,0.301,0.294,0.295,114718.0,34035.827,102
1694044800000,2023-09-07,CHZBRL,0.297,0.299,0.294,0.298,117607.0,34823.029,87
1693958400000,2023-09-06,CHZBRL,0.299,0.3,0.294,0.297,121282.0,35952.228,125
1693872000000,2023-09-05,CHZBRL,0.295,0.299,0.293,0.299,260861.0,77373.324,137
1693785600000,2023-09-04,CHZBRL,0.298,0.301,0.292,0.297,158203.0,46822.089,100
1693699200000,2023-09-03,CHZBRL,0.299,0.299,0.297,0.297,141236.0,42087.841,78
1693612800000,2023-09-02,CHZBRL,0.299,0.3,0.293,0.298,138537.0,40922.51,91
1693526400000,2023-09-01,CHZBRL,0.302,0.303,0.294,0.299,153440.0,45656.835,133
1693440000000,2023-08-31,CHZBRL,0.309,0.312,0.299,0.301,217826.0,66447.52,125
1693353600000,2023-08-30,CHZBRL,0.312,0.314,0.305,0.31,344580.0,106559.734,180
1693267200000,2023-08-29,CHZBRL,0.299,0.314,0.295,0.311,406953.0,122660.717,178
1693180800000,2023-08-28,CHZBRL,0.306,0.307,0.297,0.298,283528.0,85242.885,163
1693094400000,2023-08-27,CHZBRL,0.307,0.31,0.306,0.307,31356.0,9637.998,44
1693008000000,2023-08-26,CHZBRL,0.31,0.314,0.306,0.308,100724.0,31181.288,86
1692921600000,2023-08-25,CHZBRL,0.308,0.313,0.302,0.311,185742.0,57142.376,127
1692835200000,2023-08-24,CHZBRL,0.315,0.316,0.307,0.308,76056.0,23688.615,89
1692748800000,2023-08-23,CHZBRL,0.311,0.317,0.309,0.314,332091.0,104012.851,201
1692662400000,2023-08-22,CHZBRL,0.319,0.322,0.299,0.311,338805.0,104563.761,213
1692576000000,2023-08-21,CHZBRL,0.329,0.331,0.315,0.32,286284.0,92260.531,134
1692489600000,2023-08-20,CHZBRL,0.326,0.332,0.325,0.328,118302.0,38748.084,109
1692403200000,2023-08-19,CHZBRL,0.32,0.326,0.318,0.325,79065.0,25422.09,92
1692316800000,2023-08-18,CHZBRL,0.319,0.328,0.312,0.32,465649.0,148833.326,285
1692230400000,2023-08-17,CHZBRL,0.34,0.356,0.286,0.317,624439.0,199765.97,474
1692144000000,2023-08-16,CHZBRL,0.357,0.358,0.334,0.339,360797.0,124322.492,410
1692057600000,2023-08-15,CHZBRL,0.375,0.375,0.335,0.357,358543.0,130304.64,296
1691971200000,2023-08-14,CHZBRL,0.374,0.42,0.371,0.374,1631233.0,651529.249,270
1691884800000,2023-08-13,CHZBRL,0.376,0.38,0.374,0.376,188976.0,71322.227,112
1691798400000,2023-08-12,CHZBRL,0.372,0.378,0.371,0.376,121635.0,45555.318,94
1691712000000,2023-08-11,CHZBRL,0.37,0.373,0.368,0.372,306934.0,113539.441,119
1691625600000,2023-08-10,CHZBRL,0.375,0.376,0.37,0.371,201945.0,74997.816,108
1691539200000,2023-08-09,CHZBRL,0.377,0.378,0.372,0.376,244576.0,91845.094,169
1691452800000,2023-08-08,CHZBRL,0.371,0.378,0.369,0.376,230075.0,86002.415,170
1691366400000,2023-08-07,CHZBRL,0.377,0.381,0.368,0.371,292045.0,109448.837,198
1691280000000,2023-08-06,CHZBRL,0.374,0.382,0.374,0.378,164616.0,62338.335,118
1691193600000,2023-08-05,CHZBRL,0.378,0.379,0.37,0.374,146109.0,54775.684,143
1691107200000,2023-08-04,CHZBRL,0.377,0.382,0.373,0.379,279782.0,105581.247,235
1691020800000,2023-08-03,CHZBRL,0.369,0.382,0.369,0.378,271881.0,102361.425,176
1690934400000,2023-08-02,CHZBRL,0.377,0.377,0.368,0.37,167733.0,62468.789,139
1690848000000,2023-08-01,CHZBRL,0.367,0.376,0.358,0.376,398149.0,146312.114,246
1690761600000,2023-07-31,CHZBRL,0.371,0.376,0.365,0.369,158976.0,58929.209,155
1690675200000,2023-07-30,CHZBRL,0.38,0.381,0.365,0.371,313137.0,116649.562,304
1690588800000,2023-07-29,CHZBRL,0.374,0.394,0.372,0.38,469150.0,180337.751,292
1690502400000,2023-07-28,CHZBRL,0.367,0.373,0.365,0.372,158506.0,58514.975,252
1690416000000,2023-07-27,CHZBRL,0.368,0.373,0.365,0.368,251803.0,92910.816,236
1690329600000,2023-07-26,CHZBRL,0.369,0.371,0.36,0.368,399852.0,145838.715,286
1690243200000,2023-07-25,CHZBRL,0.367,0.373,0.365,0.371,227974.0,84004.352,368
1690156800000,2023-07-24,CHZBRL,0.384,0.385,0.358,0.367,602717.0,223173.078,451
1690070400000,2023-07-23,CHZBRL,0.376,0.388,0.374,0.384,256536.0,98089.197,176
1689984000000,2023-07-22,CHZBRL,0.381,0.383,0.374,0.374,138660.0,52753.288,150
1689897600000,2023-07-21,CHZBRL,0.382,0.387,0.379,0.382,385244.0,147434.733,226
1689811200000,2023-07-20,CHZBRL,0.38,0.386,0.378,0.381,244880.0,93584.836,182
1689724800000,2023-07-19,CHZBRL,0.382,0.39,0.378,0.382,260749.0,99633.263,230
1689638400000,2023-07-18,CHZBRL,0.39,0.395,0.376,0.383,418868.0,161560.461,342
1689552000000,2023-07-17,CHZBRL,0.383,0.394,0.379,0.391,407573.0,157636.182,336
1689465600000,2023-07-16,CHZBRL,0.396,0.399,0.383,0.384,286481.0,112277.122,231
1689379200000,2023-07-15,CHZBRL,0.387,0.4,0.386,0.395,248711.0,98266.525,171
1689292800000,2023-07-14,CHZBRL,0.405,0.41,0.375,0.388,648652.0,258184.12,519
1689206400000,2023-07-13,CHZBRL,0.37,0.405,0.367,0.405,636121.0,247005.671,463
1689120000000,2023-07-12,CHZBRL,0.376,0.385,0.367,0.37,448432.0,168934.542,316
1689033600000,2023-07-11,CHZBRL,0.371,0.378,0.369,0.377,274489.0,102707.537,218
1688947200000,2023-07-10,CHZBRL,0.37,0.38,0.367,0.371,241005.0,89820.264,217
1688860800000,2023-07-09,CHZBRL,0.377,0.379,0.372,0.373,129184.0,48672.601,108
1688774400000,2023-07-08,CHZBRL,0.377,0.379,0.369,0.377,224153.0,83830.316,135
1688688000000,2023-07-07,CHZBRL,0.365,0.378,0.365,0.376,227511.0,85047.07,173
1688601600000,2023-07-06,CHZBRL,0.373,0.385,0.366,0.366,384657.0,145512.678,294
1688515200000,2023-07-05,CHZBRL,0.386,0.396,0.372,0.376,382858.0,146507.746,290
1688428800000,2023-07-04,CHZBRL,0.383,0.389,0.378,0.385,274509.0,105214.608,239
1688342400000,2023-07-03,CHZBRL,0.375,0.386,0.375,0.383,642373.0,245199.532,275
1688256000000,2023-07-02,CHZBRL,0.385,0.386,0.367,0.375,306942.0,115138.751,184
1688169600000,2023-07-01,CHZBRL,0.366,0.385,0.363,0.382,370151.0,137619.169,264
1688083200000,2023-06-30,CHZBRL,0.361,0.375,0.342,0.365,463410.0,168006.592,345
1687996800000,2023-06-29,CHZBRL,0.355,0.368,0.355,0.361,356252.0,128921.712,247
1687910400000,2023-06-28,CHZBRL,0.374,0.374,0.346,0.356,631624.0,227238.608,401
1687824000000,2023-06-27,CHZBRL,0.371,0.377,0.369,0.373,377273.0,140613.587,241
1687737600000,2023-06-26,CHZBRL,0.382,0.384,0.364,0.371,833057.0,312437.908,428
1687651200000,2023-06-25,CHZBRL,0.375,0.4,0.375,0.383,960813.0,372672.263,527
1687564800000,2023-06-24,CHZBRL,0.371,0.388,0.367,0.377,780230.0,295345.826,534
1687478400000,2023-06-23,CHZBRL,0.353,0.376,0.351,0.371,1115340.0,410857.472,442
1687392000000,2023-06-22,CHZBRL,0.358,0.375,0.351,0.352,1137677.0,410273.115,495
1687305600000,2023-06-21,CHZBRL,0.339,0.357,0.339,0.356,774004.0,270630.747,398
1687219200000,2023-06-20,CHZBRL,0.33,0.341,0.322,0.341,644168.0,212860.632,350
1687132800000,2023-06-19,CHZBRL,0.326,0.331,0.322,0.329,293385.0,95837.487,207
1687046400000,2023-06-18,CHZBRL,0.333,0.336,0.325,0.326,389815.0,129020.188,238
1686960000000,2023-06-17,CHZBRL,0.325,0.335,0.324,0.332,234790.0,77853.728,169
1686873600000,2023-06-16,CHZBRL,0.322,0.328,0.317,0.325,305206.0,98329.015,219
1686787200000,2023-06-15,CHZBRL,0.317,0.324,0.311,0.322,453264.0,144077.451,311
1686700800000,2023-06-14,CHZBRL,0.334,0.335,0.311,0.319,983070.0,321127.533,438
1686614400000,2023-06-13,CHZBRL,0.33,0.337,0.325,0.335,474623.0,157076.408,379
1686528000000,2023-06-12,CHZBRL,0.337,0.338,0.324,0.33,492829.0,162510.058,357
1686441600000,2023-06-11,CHZBRL,0.34,0.346,0.332,0.336,524375.0,177610.463,365
1686355200000,2023-06-10,CHZBRL,0.426,0.426,0.29,0.342,1928253.0,648703.377,1602
1686268800000,2023-06-09,CHZBRL,0.435,0.438,0.42,0.427,174886.0,75305.403,187
1686182400000,2023-06-08,CHZBRL,0.428,0.439,0.421,0.433,256026.0,110291.804,286
1686096000000,2023-06-07,CHZBRL,0.467,0.467,0.425,0.428,1852470.0,812016.112,614
1686009600000,2023-06-06,CHZBRL,0.466,0.472,0.455,0.467,590162.0,274082.289,421
1685923200000,2023-06-05,CHZBRL,0.505,0.506,0.423,0.467,1001593.0,475635.616,1110
1685836800000,2023-06-04,CHZBRL,0.51,0.517,0.507,0.507,184345.0,94469.022,188
1685750400000,2023-06-03,CHZBRL,0.502,0.511,0.499,0.51,318359.0,160556.888,218
1685664000000,2023-06-02,CHZBRL,0.504,0.516,0.5,0.502,256557.0,130531.471,232
1685577600000,2023-06-01,CHZBRL,0.502,0.514,0.495,0.505,278848.0,140679.865,306
1685491200000,2023-05-31,CHZBRL,0.508,0.511,0.496,0.503,326590.0,164532.473,305
1685404800000,2023-05-30,CHZBRL,0.51,0.513,0.505,0.509,160893.0,81915.821,219
1685318400000,2023-05-29,CHZBRL,0.518,0.523,0.505,0.51,366595.0,188237.067,302
1685232000000,2023-05-28,CHZBRL,0.506,0.519,0.505,0.517,308413.0,157645.872,229
1685145600000,2023-05-27,CHZBRL,0.5,0.508,0.498,0.507,323202.0,162279.395,227
1685059200000,2023-05-26,CHZBRL,0.498,0.505,0.494,0.5,305024.0,152179.894,293
1684972800000,2023-05-25,CHZBRL,0.502,0.509,0.491,0.498,473317.0,237021.714,396
1684886400000,2023-05-24,CHZBRL,0.522,0.523,0.494,0.503,499303.0,251668.015,354
1684800000000,2023-05-23,CHZBRL,0.525,0.531,0.52,0.524,174234.0,91244.148,186
1684713600000,2023-05-22,CHZBRL,0.525,0.532,0.514,0.525,455661.0,238599.497,318
1684627200000,2023-05-21,CHZBRL,0.536,0.536,0.521,0.525,241996.0,128298.193,168
1684540800000,2023-05-20,CHZBRL,0.539,0.546,0.533,0.536,208982.0,112763.038,158
1684454400000,2023-05-19,CHZBRL,0.534,0.542,0.531,0.539,320978.0,172498.436,268
1684368000000,2023-05-18,CHZBRL,0.537,0.54,0.523,0.536,204135.0,109035.789,264
1684281600000,2023-05-17,CHZBRL,0.533,0.549,0.524,0.537,203588.0,110317.389,198
1684195200000,2023-05-16,CHZBRL,0.531,0.538,0.528,0.535,107952.0,57386.824,245
1684108800000,2023-05-15,CHZBRL,0.53,0.539,0.525,0.532,105224.0,56121.294,164
1684022400000,2023-05-14,CHZBRL,0.525,0.535,0.521,0.533,58808.0,30992.01,75
1683936000000,2023-05-13,CHZBRL,0.534,0.534,0.523,0.525,142232.0,75043.628,158
1683849600000,2023-05-12,CHZBRL,0.531,0.535,0.514,0.534,533183.0,278830.103,398
1683763200000,2023-05-11,CHZBRL,0.55,0.551,0.521,0.532,401766.0,215309.585,449
1683676800000,2023-05-10,CHZBRL,0.565,0.57,0.525,0.552,769957.0,425381.072,718
1683590400000,2023-05-09,CHZBRL,0.57,0.582,0.562,0.567,601350.0,342813.733,531
1683504000000,2023-05-08,CHZBRL,0.626,0.629,0.564,0.571,1618866.0,966656.326,1277
1683417600000,2023-05-07,CHZBRL,0.627,0.64,0.622,0.628,320911.0,202772.913,296
1683331200000,2023-05-06,CHZBRL,0.651,0.655,0.621,0.626,583212.0,367990.173,423
1683244800000,2023-05-05,CHZBRL,0.65,0.656,0.636,0.65,456595.0,294494.708,317
1683158400000,2023-05-04,CHZBRL,0.654,0.657,0.637,0.648,324523.0,209412.122,242
1683072000000,2023-05-03,CHZBRL,0.645,0.655,0.623,0.652,640202.0,409385.586,586
