https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume BRL,tradecount
1692230400000,2023-08-17,ENJBRL,1.301,1.328,1.301,1.328,304.8,399.1841,3
1692144000000,2023-08-16,ENJBRL,1.38,1.39,1.29,1.31,20300.1,27500.7828,79
1692057600000,2023-08-15,ENJBRL,1.445,1.445,1.341,1.382,16218.9,23161.3052,63
1691971200000,2023-08-14,ENJBRL,1.436,1.447,1.43,1.442,1348.0,1940.6699,10
1691884800000,2023-08-13,ENJBRL,1.432,1.461,1.427,1.449,1684.4,2418.2763,15
1691798400000,2023-08-12,ENJBRL,1.409,1.445,1.409,1.432,2313.9,3305.3934,15
1691712000000,2023-08-11,ENJBRL,1.42,1.431,1.402,1.415,4516.0,6438.1987,15
1691625600000,2023-08-10,ENJBRL,1.422,1.423,1.414,1.418,1431.2,2029.751,10
1691539200000,2023-08-09,ENJBRL,1.426,1.437,1.416,1.417,6521.5,9267.6614,24
1691452800000,2023-08-08,ENJBRL,1.408,1.437,1.399,1.424,12532.9,17911.5739,32
1691366400000,2023-08-07,ENJBRL,1.402,1.435,1.379,1.404,15863.3,22066.404,52
1691280000000,2023-08-06,ENJBRL,1.423,1.435,1.402,1.422,5747.8,8205.5547,26
1691193600000,2023-08-05,ENJBRL,1.403,1.425,1.391,1.414,7733.3,10884.7285,36
1691107200000,2023-08-04,ENJBRL,1.437,1.437,1.398,1.419,8638.0,12137.1461,48
1691020800000,2023-08-03,ENJBRL,1.408,1.435,1.395,1.421,18028.3,25601.6316,57
1690934400000,2023-08-02,ENJBRL,1.436,1.436,1.4,1.41,3777.0,5338.0885,24
1690848000000,2023-08-01,ENJBRL,1.414,1.436,1.371,1.436,8326.4,11753.5118,31
1690761600000,2023-07-31,ENJBRL,1.442,1.448,1.408,1.41,2208.0,3144.0233,13
1690675200000,2023-07-30,ENJBRL,1.461,1.476,1.4,1.428,5454.2,7786.0153,30
1690588800000,2023-07-29,ENJBRL,1.451,1.462,1.442,1.46,4691.5,6801.3724,19
1690502400000,2023-07-28,ENJBRL,1.422,1.45,1.42,1.433,1977.3,2829.9219,17
1690416000000,2023-07-27,ENJBRL,1.444,1.456,1.41,1.422,4531.3,6502.4294,34
1690329600000,2023-07-26,ENJBRL,1.45,1.45,1.416,1.45,3284.8,4708.3069,17
1690243200000,2023-07-25,ENJBRL,1.437,1.47,1.436,1.464,8887.4,12892.5025,32
1690156800000,2023-07-24,ENJBRL,1.549,1.558,1.427,1.45,11161.1,16820.4908,39
1690070400000,2023-07-23,ENJBRL,1.488,1.549,1.488,1.549,15906.2,24339.0233,40
1689984000000,2023-07-22,ENJBRL,1.49,1.503,1.468,1.468,5958.8,8897.711,40
1689897600000,2023-07-21,ENJBRL,1.5,1.5,1.474,1.474,2385.1,3523.1765,20
1689811200000,2023-07-20,ENJBRL,1.498,1.515,1.45,1.468,4768.6,7088.1201,22
1689724800000,2023-07-19,ENJBRL,1.505,1.518,1.487,1.498,5776.8,8691.4299,28
1689638400000,2023-07-18,ENJBRL,1.544,1.56,1.466,1.483,18996.5,28251.9465,52
1689552000000,2023-07-17,ENJBRL,1.49,1.6,1.49,1.553,9174.1,14207.0674,50
1689465600000,2023-07-16,ENJBRL,1.529,1.529,1.484,1.484,823.1,1238.8969,15
1689379200000,2023-07-15,ENJBRL,1.507,1.539,1.507,1.539,1564.8,2393.8927,19
1689292800000,2023-07-14,ENJBRL,1.552,1.567,1.45,1.474,11859.0,17861.8995,64
1689206400000,2023-07-13,ENJBRL,1.432,1.555,1.42,1.55,9620.0,14593.9493,55
1689120000000,2023-07-12,ENJBRL,1.473,1.503,1.435,1.438,11775.2,17552.2873,39
1689033600000,2023-07-11,ENJBRL,1.419,1.461,1.414,1.461,4141.4,5946.3509,29
1688947200000,2023-07-10,ENJBRL,1.423,1.448,1.375,1.416,10242.6,14405.1504,51
1688860800000,2023-07-09,ENJBRL,1.459,1.46,1.43,1.43,2436.6,3528.9765,20
1688774400000,2023-07-08,ENJBRL,1.449,1.451,1.426,1.448,708.0,1017.5077,19
1688688000000,2023-07-07,ENJBRL,1.437,1.459,1.426,1.44,6296.5,9054.1566,30
1688601600000,2023-07-06,ENJBRL,1.484,1.524,1.45,1.453,9623.0,14278.362,51
1688515200000,2023-07-05,ENJBRL,1.529,1.675,1.5,1.505,37920.9,59694.4038,141
1688428800000,2023-07-04,ENJBRL,1.55,1.586,1.505,1.529,7125.9,10993.424,115
1688342400000,2023-07-03,ENJBRL,1.505,1.542,1.495,1.53,19627.4,30007.5119,37
1688256000000,2023-07-02,ENJBRL,1.526,1.536,1.464,1.505,11069.8,16487.6123,35
1688169600000,2023-07-01,ENJBRL,1.444,1.51,1.419,1.508,4384.2,6411.909,29
1688083200000,2023-06-30,ENJBRL,1.388,1.459,1.331,1.436,31974.7,45295.2161,78
1687996800000,2023-06-29,ENJBRL,1.424,1.424,1.378,1.378,5146.9,7202.2447,17
1687910400000,2023-06-28,ENJBRL,1.41,1.417,1.323,1.351,7891.8,10733.1901,32
1687824000000,2023-06-27,ENJBRL,1.405,1.426,1.38,1.424,2616.7,3680.6117,19
1687737600000,2023-06-26,ENJBRL,1.458,1.458,1.391,1.4,9190.6,13060.9594,47
1687651200000,2023-06-25,ENJBRL,1.463,1.594,1.455,1.457,54789.2,83514.4555,122
1687564800000,2023-06-24,ENJBRL,1.413,1.432,1.41,1.415,15017.5,21407.2025,33
1687478400000,2023-06-23,ENJBRL,1.34,1.414,1.34,1.408,4755.9,6568.9673,31
1687392000000,2023-06-22,ENJBRL,1.349,1.38,1.33,1.338,5884.9,8021.2955,34
1687305600000,2023-06-21,ENJBRL,1.32,1.356,1.311,1.35,3736.1,4985.6502,26
1687219200000,2023-06-20,ENJBRL,1.238,1.291,1.22,1.283,11499.4,14335.6239,31
1687132800000,2023-06-19,ENJBRL,1.251,1.266,1.226,1.241,39936.3,50045.9715,43
1687046400000,2023-06-18,ENJBRL,1.263,1.27,1.239,1.239,3990.9,5007.1159,25
1686960000000,2023-06-17,ENJBRL,1.265,1.291,1.265,1.27,4035.5,5132.9645,23
1686873600000,2023-06-16,ENJBRL,1.228,1.263,1.201,1.261,11689.2,14380.4906,47
1686787200000,2023-06-15,ENJBRL,1.215,1.243,1.17,1.232,11829.9,14277.9484,63
1686700800000,2023-06-14,ENJBRL,1.251,1.28,1.183,1.197,20812.4,25947.5009,71
1686614400000,2023-06-13,ENJBRL,1.242,1.283,1.229,1.257,19793.3,24694.2729,80
