https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume BRL,tradecount
1695168000000,2023-09-20,LINKBRL,33.56,34.33,32.97,33.82,12311.09,413881.7645,2703
1695081600000,2023-09-19,LINKBRL,32.11,34.0,31.88,33.61,10041.32,332199.9403,561
1694995200000,2023-09-18,LINKBRL,30.15,33.38,29.94,32.04,13371.98,431898.4029,751
1694908800000,2023-09-17,LINKBRL,30.77,30.78,29.77,30.17,3376.66,101803.8973,332
1694822400000,2023-09-16,LINKBRL,31.15,31.4,30.38,30.85,3946.67,121673.5804,417
1694736000000,2023-09-15,LINKBRL,30.21,31.19,29.92,31.15,3406.71,103770.4865,594
1694649600000,2023-09-14,LINKBRL,29.83,30.46,29.61,30.19,7904.35,237019.1511,761
1694563200000,2023-09-13,LINKBRL,29.58,30.11,29.4,29.83,6366.66,188987.5647,553
1694476800000,2023-09-12,LINKBRL,28.96,30.03,28.79,29.63,6136.98,181712.0168,524
1694390400000,2023-09-11,LINKBRL,30.18,30.25,28.47,28.9,12425.32,361727.6042,983
1694304000000,2023-09-10,LINKBRL,30.95,30.95,29.97,30.17,4073.1,123437.292,449
1694217600000,2023-09-09,LINKBRL,31.46,31.47,30.91,30.94,1523.43,47429.6031,247
1694131200000,2023-09-08,LINKBRL,31.95,32.0,31.0,31.47,3087.28,96939.0601,388
1694044800000,2023-09-07,LINKBRL,31.49,32.37,31.01,31.93,5074.87,160758.0398,496
1693958400000,2023-09-06,LINKBRL,30.6,31.68,30.49,31.48,8041.05,249081.5727,709
1693872000000,2023-09-05,LINKBRL,29.85,30.72,29.34,30.62,6036.95,182949.2919,476
1693785600000,2023-09-04,LINKBRL,30.11,30.69,29.55,29.85,8726.81,262939.043,602
1693699200000,2023-09-03,LINKBRL,29.76,30.2,29.66,30.05,3553.87,106568.8005,329
1693612800000,2023-09-02,LINKBRL,29.52,29.89,29.4,29.73,3090.91,91690.1132,374
1693526400000,2023-09-01,LINKBRL,29.27,30.05,28.95,29.53,9775.28,288974.5871,743
1693440000000,2023-08-31,LINKBRL,29.1,29.9,28.5,29.32,13719.89,401109.3622,857
1693353600000,2023-08-30,LINKBRL,30.25,30.26,28.92,29.11,11332.07,331795.7267,653
1693267200000,2023-08-29,LINKBRL,29.35,30.76,28.63,30.25,9744.71,292603.1525,705
1693180800000,2023-08-28,LINKBRL,29.62,29.71,28.74,29.32,6688.48,195999.6504,485
1693094400000,2023-08-27,LINKBRL,29.59,29.78,29.3,29.62,2659.78,78598.5447,238
1693008000000,2023-08-26,LINKBRL,29.51,29.68,29.27,29.51,4285.18,126237.6352,325
1692921600000,2023-08-25,LINKBRL,29.86,29.86,29.03,29.42,3534.35,103713.3566,345
1692835200000,2023-08-24,LINKBRL,31.15,31.2,29.43,29.84,3541.53,106955.2159,367
1692748800000,2023-08-23,LINKBRL,30.37,31.58,30.31,31.14,5280.37,163214.0665,385
1692662400000,2023-08-22,LINKBRL,30.94,31.16,29.43,30.4,3774.53,113950.9168,359
1692576000000,2023-08-21,LINKBRL,31.39,31.48,30.25,30.91,6914.8,214406.5483,413
1692489600000,2023-08-20,LINKBRL,31.03,31.41,30.89,31.32,2665.26,82908.9561,184
1692403200000,2023-08-19,LINKBRL,31.07,31.46,30.77,31.08,4241.92,131916.662,297
1692316800000,2023-08-18,LINKBRL,31.34,31.74,30.41,30.94,7053.59,219378.0779,695
1692230400000,2023-08-17,LINKBRL,33.87,34.45,28.42,31.26,12752.04,398801.6455,979
1692144000000,2023-08-16,LINKBRL,35.21,35.4,33.2,33.86,17989.36,616921.8263,699
1692057600000,2023-08-15,LINKBRL,36.84,36.92,34.34,35.28,9008.3,320886.7081,608
1691971200000,2023-08-14,LINKBRL,36.38,37.91,36.2,36.86,2760.58,102482.8658,299
1691884800000,2023-08-13,LINKBRL,36.72,37.3,36.12,36.41,9110.5,336500.7168,220
1691798400000,2023-08-12,LINKBRL,36.8,37.02,36.41,36.72,15093.78,553847.1353,315
1691712000000,2023-08-11,LINKBRL,37.42,37.46,36.48,36.87,9361.22,343968.3523,382
1691625600000,2023-08-10,LINKBRL,37.9,38.0,37.1,37.42,5050.98,188981.7826,330
1691539200000,2023-08-09,LINKBRL,36.58,38.75,36.2,37.88,11735.2,444930.2918,479
1691452800000,2023-08-08,LINKBRL,35.98,36.94,35.8,36.68,5755.54,208975.0213,408
1691366400000,2023-08-07,LINKBRL,34.85,36.31,34.35,35.96,4153.15,146441.9581,310
1691280000000,2023-08-06,LINKBRL,35.42,35.65,34.68,34.87,2684.23,94063.7908,238
1691193600000,2023-08-05,LINKBRL,35.04,35.61,34.82,35.42,3594.38,127305.9199,284
1691107200000,2023-08-04,LINKBRL,35.09,35.45,34.34,35.08,5385.11,188691.9206,624
1691020800000,2023-08-03,LINKBRL,35.53,35.86,34.9,35.09,9510.15,336722.6466,891
1690934400000,2023-08-02,LINKBRL,36.79,37.19,35.51,35.58,9741.28,355323.2156,868
1690848000000,2023-08-01,LINKBRL,36.04,36.73,34.5,36.73,8979.79,320775.6667,1044
1690761600000,2023-07-31,LINKBRL,36.15,36.88,35.42,35.95,6482.3,234264.435,731
1690675200000,2023-07-30,LINKBRL,37.47,37.5,35.38,36.18,5000.1,181908.0229,604
1690588800000,2023-07-29,LINKBRL,37.21,37.68,36.89,37.48,3519.12,130886.1472,536
1690502400000,2023-07-28,LINKBRL,38.15,38.61,37.13,37.13,9206.91,346433.2446,582
1690416000000,2023-07-27,LINKBRL,36.95,38.5,36.69,38.12,6612.8,250879.6399,748
1690329600000,2023-07-26,LINKBRL,35.33,37.3,34.85,37.06,15034.84,548329.1956,977
1690243200000,2023-07-25,LINKBRL,36.21,36.5,35.14,35.33,4526.67,161244.9051,580
1690156800000,2023-07-24,LINKBRL,38.05,38.08,35.8,36.21,8056.8,294048.8852,983
1690070400000,2023-07-23,LINKBRL,38.08,39.02,37.82,38.05,3972.95,152713.0579,474
1689984000000,2023-07-22,LINKBRL,39.01,40.07,37.59,37.98,8391.26,323873.2123,664
1689897600000,2023-07-21,LINKBRL,40.26,40.71,38.56,39.29,10598.1,416454.4253,921
1689811200000,2023-07-20,LINKBRL,33.36,40.73,33.31,40.29,31421.07,1219062.7385,2156
