https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume BRL,tradecount
1695168000000,2023-09-20,MATICBRL,2.67,2.688,2.612,2.654,234426.8,621951.7852,1545
1695081600000,2023-09-19,MATICBRL,2.574,2.673,2.565,2.669,169072.3,445475.4852,1472
1694995200000,2023-09-18,MATICBRL,2.538,2.617,2.51,2.575,231019.9,596161.1626,2690
1694908800000,2023-09-17,MATICBRL,2.59,2.59,2.517,2.533,175177.7,446550.106,2445
1694822400000,2023-09-16,MATICBRL,2.593,2.62,2.568,2.593,171568.3,444380.4692,1182
1694736000000,2023-09-15,MATICBRL,2.564,2.614,2.522,2.591,203062.9,519913.4921,2019
1694649600000,2023-09-14,MATICBRL,2.543,2.613,2.543,2.562,315336.7,809467.5898,1901
1694563200000,2023-09-13,MATICBRL,2.52,2.6,2.511,2.543,217884.5,553427.6039,1711
1694476800000,2023-09-12,MATICBRL,2.493,2.575,2.477,2.518,411049.8,1034404.8844,2402
1694390400000,2023-09-11,MATICBRL,2.622,2.63,2.446,2.495,544836.6,1368354.5222,3768
1694304000000,2023-09-10,MATICBRL,2.71,2.71,2.582,2.623,276918.9,729644.191,2194
1694217600000,2023-09-09,MATICBRL,2.722,2.722,2.705,2.708,125413.5,340296.7851,1045
1694131200000,2023-09-08,MATICBRL,2.779,2.793,2.672,2.727,305783.1,833572.3107,2063
1694044800000,2023-09-07,MATICBRL,2.789,2.854,2.756,2.78,245112.7,681467.2393,1719
1693958400000,2023-09-06,MATICBRL,2.784,2.834,2.718,2.788,319090.4,886210.9747,2050
1693872000000,2023-09-05,MATICBRL,2.76,2.829,2.729,2.784,389213.3,1081167.7513,1861
1693785600000,2023-09-04,MATICBRL,2.707,2.751,2.683,2.748,273866.2,744802.5359,1651
1693699200000,2023-09-03,MATICBRL,2.694,2.72,2.682,2.706,135883.1,367238.9346,1105
1693612800000,2023-09-02,MATICBRL,2.686,2.73,2.675,2.694,151088.8,407807.9935,1439
1693526400000,2023-09-01,MATICBRL,2.733,2.758,2.64,2.688,330406.4,891671.1322,2452
1693440000000,2023-08-31,MATICBRL,2.82,2.882,2.696,2.738,405946.5,1136087.5169,2193
1693353600000,2023-08-30,MATICBRL,2.902,2.909,2.777,2.821,288963.0,816173.5297,1774
1693267200000,2023-08-29,MATICBRL,2.756,3.1,2.704,2.9,649821.1,1877177.2343,2757
1693180800000,2023-08-28,MATICBRL,2.732,2.792,2.683,2.753,293357.1,803995.9045,1474
1693094400000,2023-08-27,MATICBRL,2.699,2.795,2.678,2.733,256435.1,696339.7565,1155
1693008000000,2023-08-26,MATICBRL,2.677,2.698,2.665,2.697,160803.2,431799.7924,948
1692921600000,2023-08-25,MATICBRL,2.684,2.725,2.63,2.68,308125.4,821804.8145,1492
1692835200000,2023-08-24,MATICBRL,2.73,2.739,2.637,2.683,365090.0,982095.4827,1721
1692748800000,2023-08-23,MATICBRL,2.728,2.791,2.699,2.733,409897.5,1123359.7024,1973
1692662400000,2023-08-22,MATICBRL,2.789,2.794,2.627,2.725,479814.7,1291570.063,2697
1692576000000,2023-08-21,MATICBRL,2.921,2.923,2.761,2.789,404279.4,1143338.6114,1978
1692489600000,2023-08-20,MATICBRL,2.903,2.926,2.868,2.921,222089.3,643446.0703,1644
1692403200000,2023-08-19,MATICBRL,2.898,2.957,2.873,2.903,339701.0,989403.7432,2074
1692316800000,2023-08-18,MATICBRL,2.891,2.926,2.824,2.899,655167.3,1891701.5138,4263
