https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume BRL,tradecount
1695168000000,2023-09-20,SHIBBRL,3.63e-05,3.671e-05,3.551e-05,3.653e-05,13754391794.0,497274.48704392,1198
1695081600000,2023-09-19,SHIBBRL,3.547e-05,3.632e-05,3.53e-05,3.629e-05,7723119187.0,277758.78259427,1029
1694995200000,2023-09-18,SHIBBRL,3.535e-05,3.627e-05,3.502e-05,3.547e-05,7701868684.0,274915.71000234,1067
1694908800000,2023-09-17,SHIBBRL,3.626e-05,3.626e-05,3.48e-05,3.538e-05,6583186310.0,233804.26855571,842
1694822400000,2023-09-16,SHIBBRL,3.647e-05,3.702e-05,3.6e-05,3.626e-05,8509850162.0,309458.78083295,882
1694736000000,2023-09-15,SHIBBRL,3.613e-05,3.659e-05,3.574e-05,3.641e-05,7627172106.0,276225.91823394,1051
1694649600000,2023-09-14,SHIBBRL,3.593e-05,3.648e-05,3.568e-05,3.617e-05,8634582752.0,310849.70466235,1099
1694563200000,2023-09-13,SHIBBRL,3.565e-05,3.65e-05,3.557e-05,3.591e-05,9242641415.0,332018.86470936,1039
1694476800000,2023-09-12,SHIBBRL,3.498e-05,3.645e-05,3.494e-05,3.562e-05,10290225773.0,368652.29097219,1395
1694390400000,2023-09-11,SHIBBRL,3.693e-05,3.7e-05,3.454e-05,3.497e-05,17586727850.0,624765.36769887,1853
1694304000000,2023-09-10,SHIBBRL,3.8e-05,3.8e-05,3.623e-05,3.688e-05,10390179588.0,385294.40166226,1328
1694217600000,2023-09-09,SHIBBRL,3.806e-05,3.832e-05,3.795e-05,3.795e-05,4220610473.0,160807.08833379,836
1694131200000,2023-09-08,SHIBBRL,3.847e-05,3.857e-05,3.757e-05,3.802e-05,10818146932.0,409623.55636983,1183
1694044800000,2023-09-07,SHIBBRL,3.835e-05,3.86e-05,3.785e-05,3.847e-05,11180409304.0,428238.75466052,1070
1693958400000,2023-09-06,SHIBBRL,3.813e-05,3.882e-05,3.745e-05,3.832e-05,13012755658.0,497869.50881797,1354
1693872000000,2023-09-05,SHIBBRL,3.721e-05,3.848e-05,3.687e-05,3.813e-05,12983564891.0,492720.05064467,1371
1693785600000,2023-09-04,SHIBBRL,3.84e-05,3.882e-05,3.677e-05,3.716e-05,10597757875.0,400718.4861257,1384
1693699200000,2023-09-03,SHIBBRL,3.902e-05,3.915e-05,3.812e-05,3.834e-05,8472865815.0,327923.9966233,1039
1693612800000,2023-09-02,SHIBBRL,3.922e-05,3.96e-05,3.877e-05,3.902e-05,8609557281.0,337243.10351743,1121
1693526400000,2023-09-01,SHIBBRL,3.988e-05,4.01e-05,3.84e-05,3.925e-05,12608952425.0,494728.0639789,1385
1693440000000,2023-08-31,SHIBBRL,4.002e-05,4.046e-05,3.875e-05,3.979e-05,12209237258.0,486366.98642957,1580
1693353600000,2023-08-30,SHIBBRL,4.085e-05,4.094e-05,3.966e-05,4.004e-05,12843760471.0,514780.04113454,1496
1693267200000,2023-08-29,SHIBBRL,4.029e-05,4.13e-05,3.94e-05,4.085e-05,20176162457.0,820623.86280437,1863
1693180800000,2023-08-28,SHIBBRL,3.954e-05,4.1e-05,3.87e-05,4.031e-05,13785517393.0,546945.8138277,1416
