https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume USDT,Volume BRL,tradecount
1695168000000,2023-09-20,USDTBRL,4.899,4.905,4.872,4.903,6876804.3,33608726.8541,18272
1695081600000,2023-09-19,USDTBRL,4.889,4.906,4.878,4.899,9172838.6,44869603.8972,17916
1694995200000,2023-09-18,USDTBRL,4.902,4.907,4.873,4.889,8650059.2,42265242.8187,22310
1694908800000,2023-09-17,USDTBRL,4.906,4.912,4.902,4.903,2889987.4,14180135.2502,14975
1694822400000,2023-09-16,USDTBRL,4.894,4.917,4.889,4.906,4334688.2,21247971.4872,16558
1694736000000,2023-09-15,USDTBRL,4.909,4.917,4.889,4.894,8558368.8,41928212.226,20166
1694649600000,2023-09-14,USDTBRL,4.953,4.953,4.893,4.91,9052495.8,44471932.6442,17826
1694563200000,2023-09-13,USDTBRL,4.974,4.987,4.925,4.953,8761732.2,43382116.6342,17827
1694476800000,2023-09-12,USDTBRL,4.954,4.988,4.944,4.974,7577513.7,37654579.4583,18896
1694390400000,2023-09-11,USDTBRL,5.012,5.024,4.952,4.953,11907386.9,59223026.7118,23225
1694304000000,2023-09-10,USDTBRL,5.021,5.035,5.007,5.013,4374720.4,21978138.1447,14116
1694217600000,2023-09-09,USDTBRL,5.01,5.025,5.003,5.021,3899121.1,19552275.9273,14784
1694131200000,2023-09-08,USDTBRL,5.004,5.019,4.998,5.011,8696224.5,43556045.6793,20173
1694044800000,2023-09-07,USDTBRL,4.992,5.01,4.991,5.004,6435326.2,32203618.6706,18599
1693958400000,2023-09-06,USDTBRL,4.987,5.014,4.974,4.992,7825676.3,39092684.1798,21104
1693872000000,2023-09-05,USDTBRL,4.959,5.009,4.953,4.986,9470616.0,47222007.4937,22064
1693785600000,2023-09-04,USDTBRL,4.988,4.999,4.938,4.96,10313862.6,51149459.253,20537
1693699200000,2023-09-03,USDTBRL,4.983,4.999,4.98,4.988,3496482.6,17441295.65,11611
1693612800000,2023-09-02,USDTBRL,4.971,4.991,4.969,4.983,3823302.6,19054239.7088,16458
1693526400000,2023-09-01,USDTBRL,4.981,4.985,4.93,4.971,12764257.2,63331664.7192,25047
1693440000000,2023-08-31,USDTBRL,4.906,4.987,4.893,4.981,9357576.3,46320891.1786,20436
1693353600000,2023-08-30,USDTBRL,4.884,4.912,4.873,4.907,7555890.8,36961543.3719,21737
1693267200000,2023-08-29,USDTBRL,4.898,4.924,4.875,4.885,9393713.6,45962743.3489,20921
1693180800000,2023-08-28,USDTBRL,4.915,4.934,4.896,4.898,7808803.4,38364101.0598,15473
1693094400000,2023-08-27,USDTBRL,4.917,4.925,4.912,4.914,2468004.0,12139372.6788,9655
1693008000000,2023-08-26,USDTBRL,4.901,4.922,4.897,4.916,3229743.1,15860018.7915,11412
1692921600000,2023-08-25,USDTBRL,4.903,4.924,4.887,4.901,7574807.8,37138537.2047,16781
1692835200000,2023-08-24,USDTBRL,4.9,4.913,4.885,4.904,7311968.0,35842299.6265,17366
1692748800000,2023-08-23,USDTBRL,4.966,4.969,4.88,4.899,8504775.8,41794317.3966,19408
1692662400000,2023-08-22,USDTBRL,5.006,5.015,4.956,4.966,8693965.7,43258139.238,20854
1692576000000,2023-08-21,USDTBRL,5.034,5.037,4.99,5.006,7930599.3,39756617.8516,18880
