https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1695168000000,2023-09-20,XRPBRL,2.518,2.576,2.482,2.557,286541.0,724435.335,1505
1695081600000,2023-09-19,XRPBRL,2.458,2.528,2.451,2.518,233315.0,582513.985,1154
1694995200000,2023-09-18,XRPBRL,2.418,2.477,2.393,2.458,319984.0,782363.738,1196
1694908800000,2023-09-17,XRPBRL,2.451,2.456,2.402,2.415,105432.0,256536.995,660
1694822400000,2023-09-16,XRPBRL,2.447,2.463,2.438,2.451,98746.0,241816.07,653
1694736000000,2023-09-15,XRPBRL,2.402,2.497,2.39,2.45,184845.0,450233.282,1019
1694649600000,2023-09-14,XRPBRL,2.39,2.421,2.37,2.402,122904.0,294104.17,853
1694563200000,2023-09-13,XRPBRL,2.386,2.428,2.355,2.394,195426.0,466025.071,1001
1694476800000,2023-09-12,XRPBRL,2.35,2.412,2.329,2.389,226584.0,538898.193,1215
1694390400000,2023-09-11,XRPBRL,2.49,2.496,2.306,2.352,442053.0,1053172.673,1593
1694304000000,2023-09-10,XRPBRL,2.528,2.528,2.48,2.491,97771.0,244830.549,702
1694217600000,2023-09-09,XRPBRL,2.529,2.533,2.511,2.53,102432.0,258242.161,589
1694131200000,2023-09-08,XRPBRL,2.523,2.537,2.474,2.531,134736.0,338878.739,835
1694044800000,2023-09-07,XRPBRL,2.51,2.536,2.486,2.523,110478.0,277090.525,793
1693958400000,2023-09-06,XRPBRL,2.52,2.525,2.46,2.513,140231.0,350884.348,908
1693872000000,2023-09-05,XRPBRL,2.522,2.526,2.493,2.521,137636.0,345586.32,891
1693785600000,2023-09-04,XRPBRL,2.522,2.555,2.458,2.522,165990.0,415909.751,1058
1693699200000,2023-09-03,XRPBRL,2.484,2.545,2.476,2.519,98981.0,248609.342,703
1693612800000,2023-09-02,XRPBRL,2.474,2.506,2.46,2.486,223777.0,555560.238,960
1693526400000,2023-09-01,XRPBRL,2.544,2.551,2.417,2.477,250941.0,623609.716,1347
1693440000000,2023-08-31,XRPBRL,2.593,2.596,2.458,2.543,244150.0,624675.114,1436
1693353600000,2023-08-30,XRPBRL,2.635,2.637,2.559,2.593,192294.0,497487.032,1145
1693267200000,2023-08-29,XRPBRL,2.561,2.68,2.513,2.636,252748.0,661187.812,1399
1693180800000,2023-08-28,XRPBRL,2.574,2.574,2.51,2.564,127529.0,325958.021,645
1693094400000,2023-08-27,XRPBRL,2.573,2.608,2.546,2.571,85422.0,220695.336,572
1693008000000,2023-08-26,XRPBRL,2.577,2.592,2.546,2.574,89246.0,229313.467,593
1692921600000,2023-08-25,XRPBRL,2.544,2.594,2.495,2.579,190927.0,485993.179,850
1692835200000,2023-08-24,XRPBRL,2.598,2.603,2.51,2.544,101181.0,257655.051,735
1692748800000,2023-08-23,XRPBRL,2.589,2.619,2.556,2.596,187413.0,485200.054,939
1692662400000,2023-08-22,XRPBRL,2.628,2.628,2.506,2.589,309214.0,794304.554,1166
1692576000000,2023-08-21,XRPBRL,2.712,2.717,2.521,2.627,211132.0,552372.676,1052
1692489600000,2023-08-20,XRPBRL,2.615,2.807,2.596,2.709,258446.0,698662.796,1276
1692403200000,2023-08-19,XRPBRL,2.537,2.631,2.516,2.615,208340.0,536739.051,1165
1692316800000,2023-08-18,XRPBRL,2.567,2.63,2.422,2.542,501592.0,1268284.807,2272
1692230400000,2023-08-17,XRPBRL,2.952,2.981,2.171,2.561,625429.0,1677580.785,2078
1692144000000,2023-08-16,XRPBRL,3.053,3.085,2.879,2.947,363485.0,1081700.632,1474
1692057600000,2023-08-15,XRPBRL,3.152,3.152,2.913,3.052,350753.0,1073105.013,1269
1691971200000,2023-08-14,XRPBRL,3.091,3.163,3.084,3.15,188715.0,589345.674,939
1691884800000,2023-08-13,XRPBRL,3.094,3.155,3.08,3.093,85815.0,266560.21,684
1691798400000,2023-08-12,XRPBRL,3.109,3.115,3.07,3.094,113050.0,350345.254,975
1691712000000,2023-08-11,XRPBRL,3.105,3.135,3.079,3.108,160175.0,497151.183,1275
1691625600000,2023-08-10,XRPBRL,3.17,3.175,3.052,3.104,179891.0,556873.604,1567
