Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1683158400000,2023-05-04,AXSBRL,38.86,38.97,38.28,38.36,240.47,9290.799,34
1683072000000,2023-05-03,AXSBRL,38.08,59.9,37.05,38.75,7073.94,339230.6369,339
1682985600000,2023-05-02,AXSBRL,38.44,39.57,37.99,38.71,946.79,36415.9767,139
1682899200000,2023-05-01,AXSBRL,39.73,39.79,37.95,38.44,1953.82,75153.7897,170
1682812800000,2023-04-30,AXSBRL,40.25,40.65,39.51,39.7,361.77,14484.1893,87
1682726400000,2023-04-29,AXSBRL,40.01,40.65,39.82,40.44,757.0,30473.848,109
1682640000000,2023-04-28,AXSBRL,39.89,40.82,39.33,39.79,1280.06,50903.657,151
1682553600000,2023-04-27,AXSBRL,39.6,40.28,39.37,39.83,891.35,35564.7205,175
1682467200000,2023-04-26,AXSBRL,40.91,42.61,38.17,39.77,1713.62,69348.3053,212
1682380800000,2023-04-25,AXSBRL,40.29,40.8,38.81,40.71,1147.1,45336.4238,138
1682294400000,2023-04-24,AXSBRL,40.62,41.02,39.08,40.29,801.23,32108.7184,122
1682208000000,2023-04-23,AXSBRL,41.43,41.43,39.35,40.51,1343.48,54286.8675,124
1682121600000,2023-04-22,AXSBRL,40.5,41.7,40.0,41.69,848.49,34717.7503,105
1682035200000,2023-04-21,AXSBRL,41.68,43.7,39.78,40.43,1354.21,55973.0053,178
1681948800000,2023-04-20,AXSBRL,43.17,43.65,41.01,41.67,4117.19,174653.8115,267
1681862400000,2023-04-19,AXSBRL,46.89,47.23,42.0,43.24,2121.7,93834.3434,220
1681776000000,2023-04-18,AXSBRL,46.8,48.61,46.19,47.0,2974.31,140036.7841,224
1681689600000,2023-04-17,AXSBRL,45.96,46.57,45.02,45.99,1413.97,64456.3793,161
1681603200000,2023-04-16,AXSBRL,44.76,46.59,44.29,46.15,1965.38,89822.7332,159
1681516800000,2023-04-15,AXSBRL,44.59,46.8,44.15,45.02,1046.61,47310.108,141
1681430400000,2023-04-14,AXSBRL,43.67,45.56,43.53,44.67,2408.44,107499.9066,222
1681344000000,2023-04-13,AXSBRL,42.59,43.83,42.26,43.6,1418.93,61150.6688,126
1681257600000,2023-04-12,AXSBRL,43.67,43.82,41.33,42.59,1873.54,79421.2989,167
1681171200000,2023-04-11,AXSBRL,43.9,44.42,43.24,43.82,2011.61,88155.3163,215
1681084800000,2023-04-10,AXSBRL,43.0,44.42,42.43,43.9,2589.0,111761.0856,225
1680998400000,2023-04-09,AXSBRL,43.39,43.88,42.56,43.21,1525.4,65791.283,158
