Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BRL,tradecount
1696032000000,2023-09-30,BNBBRL,1084.0,1093.0,1079.0,1081.0,1159.243,1258794.956,2632
1695945600000,2023-09-29,BNBBRL,1085.0,1092.0,1078.0,1084.0,1368.344,1486079.385,3015
1695859200000,2023-09-28,BNBBRL,1070.0,1097.0,1067.0,1086.0,1240.236,1343273.032,2683
1695772800000,2023-09-27,BNBBRL,1061.0,1080.0,1059.0,1070.0,1417.211,1517621.441,2665
1695686400000,2023-09-26,BNBBRL,1048.0,1064.0,1044.0,1062.0,1235.207,1304840.682,2808
1695600000000,2023-09-25,BNBBRL,1034.0,1050.0,1027.0,1048.0,1258.72,1312446.431,2600
1695513600000,2023-09-24,BNBBRL,1045.0,1048.0,1020.0,1034.0,1050.851,1094046.497,2346
1695427200000,2023-09-23,BNBBRL,1049.0,1051.0,1042.0,1044.0,707.289,740009.818,2204
1695340800000,2023-09-22,BNBBRL,1047.0,1052.0,1038.0,1048.0,1328.67,1388822.408,3083
1695254400000,2023-09-21,BNBBRL,1051.0,1055.0,1028.0,1047.0,1377.643,1437493.369,3150
1695168000000,2023-09-20,BNBBRL,1063.0,1067.0,1046.0,1051.0,1547.572,1631618.752,3315
1695081600000,2023-09-19,BNBBRL,1055.0,1073.0,1053.0,1065.0,1097.415,1166014.91,2620
1694995200000,2023-09-18,BNBBRL,1059.0,1082.0,1051.0,1057.0,1244.386,1326378.01,2986
1694908800000,2023-09-17,BNBBRL,1054.0,1064.0,1047.0,1060.0,590.347,623694.677,1944
1694822400000,2023-09-16,BNBBRL,1048.0,1055.0,1044.0,1053.0,815.012,856247.252,2511
1694736000000,2023-09-15,BNBBRL,1041.0,1052.0,1030.0,1047.0,2176.733,2259103.697,3358
1694649600000,2023-09-14,BNBBRL,1053.0,1063.0,1037.0,1041.0,1354.231,1415619.138,2975
1694563200000,2023-09-13,BNBBRL,1048.0,1056.0,1040.0,1053.0,1315.717,1381274.827,3035
1694476800000,2023-09-12,BNBBRL,1021.0,1063.0,1015.0,1047.0,1935.067,2027775.132,3202
1694390400000,2023-09-11,BNBBRL,1064.0,1067.0,1013.0,1021.0,1934.403,1991556.18,3349
1694304000000,2023-09-10,BNBBRL,1076.0,1076.0,1061.0,1063.0,871.534,931130.262,2211
1694217600000,2023-09-09,BNBBRL,1075.0,1082.0,1073.0,1076.0,780.933,841117.954,2255
1694131200000,2023-09-08,BNBBRL,1086.0,1094.0,1068.0,1076.0,1035.978,1114202.147,2539
1694044800000,2023-09-07,BNBBRL,1073.0,1090.0,1069.0,1087.0,955.444,1028759.997,2507
1693958400000,2023-09-06,BNBBRL,1070.0,1092.0,1061.0,1073.0,1398.206,1499328.008,2977
1693872000000,2023-09-05,BNBBRL,1068.0,1079.0,1059.0,1069.0,1046.597,1120635.811,2699
1693785600000,2023-09-04,BNBBRL,1070.0,1079.0,1057.0,1067.0,1117.389,1193252.522,2499
1693699200000,2023-09-03,BNBBRL,1068.0,1073.0,1063.0,1070.0,830.946,886930.784,2051
1693612800000,2023-09-02,BNBBRL,1063.0,1075.0,1061.0,1067.0,1039.936,1110812.471,2427
1693526400000,2023-09-01,BNBBRL,1079.0,1087.0,1049.0,1063.0,1761.318,1874807.765,3722
1693440000000,2023-08-31,BNBBRL,1098.0,1110.0,1070.0,1080.0,1645.417,1793606.223,3244
1693353600000,2023-08-30,BNBBRL,1108.0,1110.0,1083.0,1099.0,1333.185,1460295.834,2826
1693267200000,2023-08-29,BNBBRL,1071.0,1142.0,1062.0,1109.0,2097.991,2324207.618,3605
1693180800000,2023-08-28,BNBBRL,1073.0,1080.0,1059.0,1072.0,969.998,1039266.119,2416
1693094400000,2023-08-27,BNBBRL,1063.0,1081.0,1061.0,1074.0,615.03,659069.415,1836
1693008000000,2023-08-26,BNBBRL,1070.0,1073.0,1061.0,1065.0,785.441,836713.243,2273
1692921600000,2023-08-25,BNBBRL,1074.0,1076.0,1050.0,1071.0,1290.352,1373559.665,3046
1692835200000,2023-08-24,BNBBRL,1062.0,1081.0,1056.0,1074.0,1307.803,1396759.587,3357
1692748800000,2023-08-23,BNBBRL,1047.0,1075.0,1046.0,1061.0,1727.932,1836277.775,3486
1692662400000,2023-08-22,BNBBRL,1053.0,1057.0,1012.0,1048.0,1790.369,1855217.453,3765
1692576000000,2023-08-21,BNBBRL,1091.0,1092.0,1037.0,1052.0,1537.939,1625713.77,3324
1692489600000,2023-08-20,BNBBRL,1091.0,1097.0,1083.0,1091.0,716.809,781636.415,2379
1692403200000,2023-08-19,BNBBRL,1085.0,1103.0,1074.0,1090.0,1061.481,1152975.624,2819
1692316800000,2023-08-18,BNBBRL,1101.0,1113.0,1071.0,1085.0,1848.983,2017024.044,3950
