Unix,Date,Symbol,Open,High,Low,Close,Volume C98,Volume BRL,tradecount
1675987200000,2023-02-10,C98BRL,1.313,1.33,1.272,1.308,18593.9,24327.4771,49
1675900800000,2023-02-09,C98BRL,1.512,1.54,1.29,1.305,154007.5,224537.5011,428
1675814400000,2023-02-08,C98BRL,1.515,1.6,1.45,1.509,135920.8,205235.8252,521
1675728000000,2023-02-07,C98BRL,1.311,1.526,1.301,1.509,189022.4,265387.4988,734
1675641600000,2023-02-06,C98BRL,1.34,1.36,1.28,1.298,102580.5,134458.0369,344
1675555200000,2023-02-05,C98BRL,1.421,1.444,1.227,1.335,72648.7,97012.3811,271
1675468800000,2023-02-04,C98BRL,1.409,1.476,1.356,1.421,38398.3,54928.0924,212
1675382400000,2023-02-03,C98BRL,1.351,1.41,1.33,1.396,490395.3,680873.6886,303
1675296000000,2023-02-02,C98BRL,1.402,1.463,1.331,1.351,98211.2,136425.7545,320
1675209600000,2023-02-01,C98BRL,1.376,1.481,1.291,1.382,713318.1,971781.0732,1122
1675123200000,2023-01-31,C98BRL,1.214,1.426,1.203,1.382,1081804.2,1436376.9823,1113
1675036800000,2023-01-30,C98BRL,1.285,1.367,1.187,1.207,1445095.6,1811115.5156,1110
1674950400000,2023-01-29,C98BRL,1.248,1.299,1.233,1.284,234684.1,297870.9311,574
1674864000000,2023-01-28,C98BRL,1.307,1.332,1.244,1.248,49020.3,62339.6706,242
1674777600000,2023-01-27,C98BRL,1.254,1.324,1.21,1.287,90448.4,115139.9741,386
1674691200000,2023-01-26,C98BRL,1.251,1.285,1.216,1.242,111511.0,139278.4648,430
1674604800000,2023-01-25,C98BRL,1.248,1.279,1.151,1.247,85808.5,104767.1282,270
1674518400000,2023-01-24,C98BRL,1.239,1.33,1.172,1.206,83356.8,106057.1161,261
1674432000000,2023-01-23,C98BRL,1.252,1.267,1.197,1.22,27602.4,34121.2278,129
1674345600000,2023-01-22,C98BRL,1.15,1.299,1.149,1.213,48825.4,58962.4543,197
1674259200000,2023-01-21,C98BRL,1.175,1.203,1.127,1.15,211596.5,245256.6888,395
1674172800000,2023-01-20,C98BRL,1.041,1.185,1.027,1.176,240268.9,259849.0689,437
1674086400000,2023-01-19,C98BRL,1.03,1.051,1.009,1.034,22114.2,22856.6166,118
1674000000000,2023-01-18,C98BRL,1.126,1.152,0.999,1.03,406321.0,434613.0685,837
1673913600000,2023-01-17,C98BRL,1.142,1.153,1.106,1.106,234004.9,265218.7856,307
1673827200000,2023-01-16,C98BRL,1.141,1.18,1.086,1.123,92426.7,105306.4234,244
1673740800000,2023-01-15,C98BRL,1.124,1.19,1.071,1.14,76460.0,85614.5579,292
1673654400000,2023-01-14,C98BRL,1.06,1.172,1.04,1.123,78131.4,85105.6392,192
1673568000000,2023-01-13,C98BRL,1.0,1.054,0.979,1.054,53669.5,54256.742,154
1673481600000,2023-01-12,C98BRL,0.983,1.04,0.913,0.997,82206.3,80823.4388,224
1673395200000,2023-01-11,C98BRL,0.962,0.984,0.92,0.983,46603.2,43975.3498,98
1673308800000,2023-01-10,C98BRL,0.954,0.987,0.929,0.962,168722.1,162029.6841,472
1673222400000,2023-01-09,C98BRL,0.923,0.996,0.923,0.957,328531.6,315506.6239,471
1673136000000,2023-01-08,C98BRL,0.882,0.95,0.863,0.95,66401.9,59644.2206,197
1673049600000,2023-01-07,C98BRL,0.866,0.91,0.861,0.885,75469.6,66629.085,139
1672963200000,2023-01-06,C98BRL,0.867,0.893,0.835,0.88,16935.3,14535.356,58
1672876800000,2023-01-05,C98BRL,0.896,0.908,0.788,0.871,84621.1,72106.8512,112
1672790400000,2023-01-04,C98BRL,0.878,0.909,0.873,0.893,89300.9,79469.5143,197
1672704000000,2023-01-03,C98BRL,0.857,0.898,0.818,0.879,1166713.6,1010543.8101,152
1672617600000,2023-01-02,C98BRL,0.873,0.896,0.828,0.855,182688.5,158698.8504,140
1672531200000,2023-01-01,C98BRL,0.828,0.868,0.825,0.85,1115.8,946.149,16
1672444800000,2022-12-31,C98BRL,0.829,0.854,0.812,0.828,4846.5,4044.9884,39
1672358400000,2022-12-30,C98BRL,0.854,0.86,0.811,0.847,28204.7,23903.1457,76
1672272000000,2022-12-29,C98BRL,0.84,0.863,0.813,0.849,36301.0,30712.2149,61
1672185600000,2022-12-28,C98BRL,0.919,0.922,0.836,0.84,59638.0,50600.6731,76
1672099200000,2022-12-27,C98BRL,0.896,0.921,0.877,0.919,31905.1,28516.2043,119
1672012800000,2022-12-26,C98BRL,0.885,0.891,0.86,0.885,11745.0,10177.3815,52
1671926400000,2022-12-25,C98BRL,0.922,0.929,0.867,0.879,12482.2,11041.3099,65
1671840000000,2022-12-24,C98BRL,0.955,0.955,0.911,0.916,12105.3,11283.7619,50
1671753600000,2022-12-23,C98BRL,0.976,0.979,0.923,0.957,13137.5,12602.0828,54
1671667200000,2022-12-22,C98BRL,0.968,1.009,0.94,0.948,17373.0,16751.0057,72
1671580800000,2022-12-21,C98BRL,1.006,1.008,0.962,0.967,15567.6,15400.2576,66
1671494400000,2022-12-20,C98BRL,0.96,1.015,0.96,1.007,87189.1,87024.3059,120
1671408000000,2022-12-19,C98BRL,1.024,1.038,0.956,0.956,48709.9,49001.9943,163
1671321600000,2022-12-18,C98BRL,1.044,1.044,1.009,1.026,235766.1,240751.5108,669
1671235200000,2022-12-17,C98BRL,1.034,1.051,0.998,1.044,165672.9,170740.273,403
1671148800000,2022-12-16,C98BRL,1.196,1.197,1.003,1.031,104863.3,114720.1773,287
1671062400000,2022-12-15,C98BRL,1.197,1.209,1.18,1.183,79067.5,94434.7517,247
1670976000000,2022-12-14,C98BRL,1.248,1.254,1.195,1.208,75267.2,92857.5454,234
