Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume BRL,tradecount
1696032000000,2023-09-30,DOGEBRL,0.313,0.3161,0.3114,0.3127,779167.0,244581.4869,473
1695945600000,2023-09-29,DOGEBRL,0.3103,0.3144,0.3087,0.3132,1010273.0,314531.0874,636
1695859200000,2023-09-28,DOGEBRL,0.3054,0.3122,0.3046,0.3104,917991.0,283261.3801,592
1695772800000,2023-09-27,DOGEBRL,0.3025,0.3078,0.3025,0.3055,999137.0,304712.8123,579
1695686400000,2023-09-26,DOGEBRL,0.3036,0.3043,0.2972,0.3028,2108646.0,637119.0276,626
1695600000000,2023-09-25,DOGEBRL,0.3014,0.3049,0.2992,0.304,428049.0,129705.5221,405
1695513600000,2023-09-24,DOGEBRL,0.3051,0.306,0.2995,0.3018,455416.0,138239.6994,338
1695427200000,2023-09-23,DOGEBRL,0.3056,0.3075,0.3047,0.3051,327164.0,100055.8696,267
1695340800000,2023-09-22,DOGEBRL,0.3046,0.3062,0.3009,0.3053,324582.0,98876.015,357
1695254400000,2023-09-21,DOGEBRL,0.307,0.3114,0.3011,0.3046,339431.0,103771.2132,357
1695168000000,2023-09-20,DOGEBRL,0.3071,0.3084,0.3011,0.307,367431.0,112034.8075,396
1695081600000,2023-09-19,DOGEBRL,0.3028,0.3091,0.3028,0.3069,322135.0,98541.2269,327
1694995200000,2023-09-18,DOGEBRL,0.3014,0.3069,0.2996,0.3031,480661.0,145337.0208,348
1694908800000,2023-09-17,DOGEBRL,0.3049,0.3068,0.2996,0.3013,175705.0,53405.1337,265
1694822400000,2023-09-16,DOGEBRL,0.3057,0.308,0.3034,0.305,467914.0,142814.9393,364
1694736000000,2023-09-15,DOGEBRL,0.3049,0.3075,0.3005,0.3057,461046.0,140095.0857,403
1694649600000,2023-09-14,DOGEBRL,0.3032,0.3063,0.3016,0.3047,590792.0,179262.0458,491
1694563200000,2023-09-13,DOGEBRL,0.3027,0.3055,0.3006,0.303,537799.0,162631.1771,437
1694476800000,2023-09-12,DOGEBRL,0.2995,0.3088,0.2989,0.3027,776424.0,235830.7252,536
1694390400000,2023-09-11,DOGEBRL,0.3073,0.3104,0.2949,0.2993,910443.0,273571.2587,615
1694304000000,2023-09-10,DOGEBRL,0.3182,0.3182,0.2994,0.3074,447335.0,138419.1308,416
1694217600000,2023-09-09,DOGEBRL,0.3195,0.3197,0.3166,0.318,251020.0,79946.6059,279
1694131200000,2023-09-08,DOGEBRL,0.3177,0.32,0.313,0.3189,448663.0,141828.6984,370
1694044800000,2023-09-07,DOGEBRL,0.318,0.3194,0.3147,0.3183,306888.0,97268.897,324
1693958400000,2023-09-06,DOGEBRL,0.3194,0.3216,0.3135,0.3174,432230.0,137255.1568,358
1693872000000,2023-09-05,DOGEBRL,0.3137,0.321,0.3116,0.3194,768623.0,243171.5915,373
1693785600000,2023-09-04,DOGEBRL,0.3155,0.3179,0.3089,0.314,539218.0,168308.9891,318
1693699200000,2023-09-03,DOGEBRL,0.316,0.3175,0.3134,0.3153,445271.0,140620.4459,234
1693612800000,2023-09-02,DOGEBRL,0.317,0.3234,0.3125,0.3163,834722.0,264953.9609,487
1693526400000,2023-09-01,DOGEBRL,0.3191,0.3193,0.3096,0.3171,874949.0,275766.4967,541
1693440000000,2023-08-31,DOGEBRL,0.3227,0.3284,0.3131,0.3177,1128192.0,362970.6572,641
1693353600000,2023-08-30,DOGEBRL,0.3245,0.3248,0.3165,0.3233,787989.0,252278.2,417
1693267200000,2023-08-29,DOGEBRL,0.3113,0.3348,0.3061,0.3243,2149236.0,696129.8105,956
1693180800000,2023-08-28,DOGEBRL,0.3103,0.313,0.3041,0.3111,688898.0,212895.7794,569
1693094400000,2023-08-27,DOGEBRL,0.3093,0.313,0.3084,0.3103,277310.0,86094.3914,299
1693008000000,2023-08-26,DOGEBRL,0.3093,0.3103,0.3076,0.3091,344570.0,106377.7133,360
1692921600000,2023-08-25,DOGEBRL,0.3093,0.3095,0.3035,0.3092,390162.0,119472.1335,457
1692835200000,2023-08-24,DOGEBRL,0.3124,0.3134,0.3051,0.3093,602168.0,186042.4642,608
1692748800000,2023-08-23,DOGEBRL,0.3109,0.3219,0.31,0.3123,583968.0,183174.0567,600
1692662400000,2023-08-22,DOGEBRL,0.3131,0.3161,0.2999,0.3106,578781.0,179574.2215,590
1692576000000,2023-08-21,DOGEBRL,0.3212,0.322,0.306,0.3129,511676.0,160351.6874,536
1692489600000,2023-08-20,DOGEBRL,0.321,0.3249,0.319,0.3212,358946.0,115449.5388,439
1692403200000,2023-08-19,DOGEBRL,0.3175,0.3241,0.3171,0.3208,338097.0,107952.975,561
1692316800000,2023-08-18,DOGEBRL,0.3084,0.32,0.3003,0.3171,639734.0,199741.8322,852
1692230400000,2023-08-17,DOGEBRL,0.3366,0.3432,0.2827,0.3077,1381085.0,437218.0481,1167
1692144000000,2023-08-16,DOGEBRL,0.3549,0.3565,0.3323,0.3369,1365072.0,469777.7507,1048
1692057600000,2023-08-15,DOGEBRL,0.3709,0.3722,0.3432,0.355,1244498.0,450537.8882,983
1691971200000,2023-08-14,DOGEBRL,0.3693,0.3827,0.3662,0.3708,1264938.0,470823.2109,815
1691884800000,2023-08-13,DOGEBRL,0.3784,0.3791,0.3672,0.3698,692607.0,258708.8008,894
1691798400000,2023-08-12,DOGEBRL,0.3724,0.3811,0.3724,0.3783,692939.0,261472.516,851
