Unix,Date,Symbol,Open,High,Low,Close,Volume DOT,Volume BRL,tradecount
1696032000000,2023-09-30,DOTBRL,20.53,20.76,20.51,20.67,3117.02,64398.1682,178
1695945600000,2023-09-29,DOTBRL,20.56,20.66,20.44,20.53,3313.83,68139.2368,225
1695859200000,2023-09-28,DOTBRL,20.2,20.71,20.1,20.55,5202.58,106575.8388,286
1695772800000,2023-09-27,DOTBRL,20.02,20.46,19.98,20.16,3900.95,78731.5427,280
1695686400000,2023-09-26,DOTBRL,20.28,20.35,19.91,20.07,2881.96,57818.0745,204
1695600000000,2023-09-25,DOTBRL,19.78,20.37,19.65,20.25,3470.8,70019.7385,240
1695513600000,2023-09-24,DOTBRL,19.96,20.12,19.67,19.84,3859.42,76828.4101,176
1695427200000,2023-09-23,DOTBRL,20.03,20.05,19.87,20.01,2435.1,48619.9082,185
1695340800000,2023-09-22,DOTBRL,19.93,20.04,19.67,19.94,4454.63,88571.3477,302
1695254400000,2023-09-21,DOTBRL,20.29,20.38,19.74,19.88,2417.1,48342.604,205
1695168000000,2023-09-20,DOTBRL,20.34,20.39,19.92,20.3,5651.09,114141.037,1701
1695081600000,2023-09-19,DOTBRL,20.0,20.38,19.95,20.36,3646.38,73472.9113,237
1694995200000,2023-09-18,DOTBRL,19.94,20.61,19.73,20.08,3659.8,74171.1222,283
1694908800000,2023-09-17,DOTBRL,20.51,20.52,19.84,20.0,2332.08,47211.7892,215
1694822400000,2023-09-16,DOTBRL,20.28,20.65,20.22,20.52,6102.81,124593.1047,328
1694736000000,2023-09-15,DOTBRL,19.93,20.4,19.88,20.29,7029.57,141374.3655,625
1694649600000,2023-09-14,DOTBRL,19.81,20.12,19.68,19.91,7704.18,152959.1938,765
1694563200000,2023-09-13,DOTBRL,19.83,20.47,19.64,19.81,7525.92,149763.6161,697
1694476800000,2023-09-12,DOTBRL,19.77,20.21,19.66,19.81,10879.62,216071.0358,993
1694390400000,2023-09-11,DOTBRL,20.79,20.8,19.37,19.78,16112.25,322257.4043,1350
1694304000000,2023-09-10,DOTBRL,21.28,21.28,20.64,20.8,6614.5,138523.0372,777
1694217600000,2023-09-09,DOTBRL,21.29,21.46,21.23,21.28,2929.77,62492.9525,352
1694131200000,2023-09-08,DOTBRL,21.47,21.65,21.05,21.3,6720.71,143091.1231,564
1694044800000,2023-09-07,DOTBRL,21.34,21.54,21.21,21.47,6329.47,135022.6759,531
1693958400000,2023-09-06,DOTBRL,21.23,21.4,20.9,21.29,8626.32,182478.3101,705
1693872000000,2023-09-05,DOTBRL,21.15,21.48,20.84,21.23,6770.75,143496.7738,592
1693785600000,2023-09-04,DOTBRL,21.25,21.5,20.74,21.12,8966.85,189676.8671,700
1693699200000,2023-09-03,DOTBRL,21.24,21.45,21.14,21.23,6155.49,130979.8889,557
1693612800000,2023-09-02,DOTBRL,20.96,21.36,20.91,21.22,7480.84,158074.9723,654
1693526400000,2023-09-01,DOTBRL,21.26,21.37,20.54,20.97,12165.94,256271.7064,1087
1693440000000,2023-08-31,DOTBRL,22.24,22.24,21.08,21.25,13848.48,300861.1916,1051
1693353600000,2023-08-30,DOTBRL,22.81,22.82,22.2,22.25,7995.7,178933.3127,751
1693267200000,2023-08-29,DOTBRL,22.61,23.39,22.23,22.85,8216.95,187345.1581,813
1693180800000,2023-08-28,DOTBRL,22.06,22.72,21.7,22.57,5498.81,121786.4271,626
1693094400000,2023-08-27,DOTBRL,22.17,22.32,21.98,22.08,2234.02,49514.1571,339
1693008000000,2023-08-26,DOTBRL,22.04,22.2,21.93,22.12,2884.64,63712.1167,365
1692921600000,2023-08-25,DOTBRL,21.68,22.05,21.41,21.99,4455.96,97074.5549,592
