Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BRL,tradecount
1696032000000,2023-09-30,ETHBRL,8400.5,8556.68,8395.18,8413.3,317.9835,2691756.426965,2822
1695945600000,2023-09-29,ETHBRL,8340.94,8491.01,8288.98,8401.88,683.6179,5743032.458286,4460
1695859200000,2023-09-28,ETHBRL,8067.72,8441.42,8067.29,8339.93,792.3845,6568196.832113,5333
1695772800000,2023-09-27,ETHBRL,7961.07,8177.52,7938.99,8067.64,648.6832,5241618.957264,4519
1695686400000,2023-09-26,ETHBRL,7915.02,7972.48,7890.0,7961.3,479.8697,3803484.583141,3842
1695600000000,2023-09-25,ETHBRL,7855.19,7963.02,7773.02,7921.08,815.7546,6420183.201728,5504
1695513600000,2023-09-24,ETHBRL,7913.06,7938.83,7803.84,7855.19,317.202,2501521.575113,2917
1695427200000,2023-09-23,ETHBRL,7911.69,7937.58,7890.0,7911.63,253.5067,2006114.686424,2873
1695340800000,2023-09-22,ETHBRL,7863.91,7932.7,7822.35,7912.66,531.7475,4198134.305902,3874
1695254400000,2023-09-21,ETHBRL,7951.29,7964.34,7766.92,7861.47,765.3288,6012289.551349,4981
1695168000000,2023-09-20,ETHBRL,8045.52,8075.96,7862.69,7951.54,595.8084,4742945.711366,4458
1695081600000,2023-09-19,ETHBRL,8000.81,8110.0,7956.38,8046.22,551.2425,4433624.914658,3626
1694995200000,2023-09-18,ETHBRL,7956.48,8162.97,7869.0,8004.32,583.3212,4688523.203579,6180
1694908800000,2023-09-17,ETHBRL,8019.44,8028.54,7909.73,7956.0,237.1655,1891906.12051,3417
1694822400000,2023-09-16,ETHBRL,8029.67,8077.03,7984.27,8019.44,251.1787,2014875.401686,3453
1694736000000,2023-09-15,ETHBRL,7979.77,8083.0,7883.48,8029.67,397.7792,3166888.588584,4554
1694649600000,2023-09-14,ETHBRL,7959.25,8092.22,7952.66,7985.09,516.7972,4137703.702105,4108
1694563200000,2023-09-13,ETHBRL,7921.89,7983.76,7864.65,7956.9,355.5876,2820741.149117,3005
1694476800000,2023-09-12,ETHBRL,7690.58,8052.52,7675.03,7912.26,601.7808,4763394.029303,4546
1694390400000,2023-09-11,ETHBRL,8109.18,8117.18,7599.0,7690.59,937.4952,7323938.742931,6582
1694304000000,2023-09-10,ETHBRL,8212.01,8212.01,8050.0,8108.79,390.5475,3176174.771082,3477
1694217600000,2023-09-09,ETHBRL,8196.41,8218.85,8164.67,8209.11,171.4087,1404651.820438,2236
1694131200000,2023-09-08,ETHBRL,8244.99,8294.86,8092.42,8196.35,375.5593,3069346.499401,3505
1694044800000,2023-09-07,ETHBRL,8150.64,8301.0,8127.0,8243.65,373.0573,3057430.147179,3233
1693958400000,2023-09-06,ETHBRL,8147.69,8355.52,8055.77,8151.73,443.8005,3620103.881604,4689
1693872000000,2023-09-05,ETHBRL,8087.82,8228.6,7998.4,8147.7,565.2289,4593857.294484,3845
1693785600000,2023-09-04,ETHBRL,8160.99,8197.16,8007.39,8089.81,489.2777,3955945.469238,3892
1693699200000,2023-09-03,ETHBRL,8155.34,8225.24,8113.22,8157.29,334.9424,2732815.335673,2391
1693612800000,2023-09-02,ETHBRL,8098.72,8203.23,8092.59,8155.26,245.2854,1998620.275818,2467
1693526400000,2023-09-01,ETHBRL,8199.15,8238.5,7958.51,8094.73,787.6079,6374332.589416,5392
1693440000000,2023-08-31,ETHBRL,8365.11,8477.4,8129.02,8197.63,877.859,7303140.986584,5107
