Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1685059200000,2023-05-26,FISBRL,1.8,1.809,1.78,1.781,5540.0,9948.6761,42
1684972800000,2023-05-25,FISBRL,1.663,1.861,1.662,1.794,89846.0,160799.0734,544
1684886400000,2023-05-24,FISBRL,1.772,1.773,1.668,1.682,45166.0,77187.2021,407
1684800000000,2023-05-23,FISBRL,1.751,1.79,1.751,1.773,16859.9,29932.8414,208
1684713600000,2023-05-22,FISBRL,1.722,1.772,1.693,1.755,40505.5,69877.5681,316
1684627200000,2023-05-21,FISBRL,1.816,1.817,1.721,1.722,56740.4,100053.8006,359
1684540800000,2023-05-20,FISBRL,1.809,1.84,1.805,1.824,13246.5,24093.2734,57
1684454400000,2023-05-19,FISBRL,1.824,1.83,1.801,1.818,16241.3,29465.625,101
1684368000000,2023-05-18,FISBRL,1.843,1.883,1.802,1.828,35557.7,65935.349,204
1684281600000,2023-05-17,FISBRL,1.865,1.865,1.762,1.844,49540.6,89734.7369,162
1684195200000,2023-05-16,FISBRL,1.811,1.875,1.783,1.855,68166.0,124008.5449,143
1684108800000,2023-05-15,FISBRL,1.76,1.909,1.705,1.808,93894.3,168772.8598,127
1684022400000,2023-05-14,FISBRL,1.779,1.867,1.701,1.755,114148.7,202380.379,128
1683936000000,2023-05-13,FISBRL,1.693,1.848,1.62,1.763,172776.5,298643.9386,265
1683849600000,2023-05-12,FISBRL,1.628,1.719,1.532,1.694,94300.6,155399.7883,126
1683763200000,2023-05-11,FISBRL,1.712,1.728,1.582,1.615,10038.1,16496.6883,75
1683676800000,2023-05-10,FISBRL,1.719,1.767,1.689,1.716,7946.0,13717.1556,60
1683590400000,2023-05-09,FISBRL,1.675,1.735,1.617,1.707,55661.3,94424.1676,219
1683504000000,2023-05-08,FISBRL,1.864,1.864,1.637,1.667,94054.1,161784.5944,265
1683417600000,2023-05-07,FISBRL,1.88,1.889,1.855,1.855,13350.2,24947.9404,129
1683331200000,2023-05-06,FISBRL,2.062,2.066,1.863,1.874,33081.3,64272.4069,203
1683244800000,2023-05-05,FISBRL,2.072,2.096,2.046,2.064,3731.5,7709.6944,56
1683158400000,2023-05-04,FISBRL,2.123,2.154,2.053,2.061,14223.3,30094.626,76
