Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BRL,tradecount
1696032000000,2023-09-30,LTCBRL,329.9,335.7,329.4,332.7,747.809,248788.3439,636
1695945600000,2023-09-29,LTCBRL,329.2,335.2,326.8,329.8,1596.903,528470.661,887
1695859200000,2023-09-28,LTCBRL,320.5,331.2,318.5,329.0,1579.401,514114.2674,832
1695772800000,2023-09-27,LTCBRL,318.3,332.5,310.0,320.6,2164.782,699370.2917,967
1695686400000,2023-09-26,LTCBRL,320.9,323.6,316.2,318.1,1640.841,524699.8812,851
1695600000000,2023-09-25,LTCBRL,315.8,324.1,311.3,320.9,1525.507,488425.4644,1364
1695513600000,2023-09-24,LTCBRL,322.7,322.8,314.4,316.1,1162.713,371613.4205,727
1695427200000,2023-09-23,LTCBRL,320.1,324.2,320.1,323.0,930.769,299924.6391,669
1695340800000,2023-09-22,LTCBRL,321.2,326.5,317.6,319.5,1520.001,487262.0394,1372
1695254400000,2023-09-21,LTCBRL,316.3,321.6,309.1,321.2,1444.67,456734.0883,904
1695168000000,2023-09-20,LTCBRL,329.5,332.0,310.3,316.5,2804.036,896640.3421,3590
1695081600000,2023-09-19,LTCBRL,322.6,333.7,321.3,329.4,2334.434,769712.7945,1222
1694995200000,2023-09-18,LTCBRL,311.7,330.6,309.1,321.8,1818.201,587172.211,1332
1694908800000,2023-09-17,LTCBRL,320.7,320.7,307.6,311.8,819.622,256905.7022,776
1694822400000,2023-09-16,LTCBRL,322.5,327.6,315.5,320.4,1192.382,382590.9052,1002
1694736000000,2023-09-15,LTCBRL,308.4,324.1,307.4,322.3,1402.719,441494.5616,1380
1694649600000,2023-09-14,LTCBRL,306.9,311.6,305.6,308.5,1215.545,375079.836,1081
1694563200000,2023-09-13,LTCBRL,297.8,311.8,296.6,306.7,1723.779,523052.6059,1337
1694476800000,2023-09-12,LTCBRL,291.5,305.0,290.1,297.9,1555.291,465512.4344,1469
1694390400000,2023-09-11,LTCBRL,306.4,309.2,286.6,291.5,1523.66,451943.5632,1467
1694304000000,2023-09-10,LTCBRL,316.7,316.7,302.0,306.5,1121.83,345199.3799,1140
1694217600000,2023-09-09,LTCBRL,313.5,317.5,312.9,316.7,629.618,198546.4271,753
1694131200000,2023-09-08,LTCBRL,318.7,321.0,308.2,313.7,1262.672,396976.1467,1018
1694044800000,2023-09-07,LTCBRL,313.7,322.3,313.1,318.6,1058.357,334183.8784,1105
1693958400000,2023-09-06,LTCBRL,314.9,318.6,308.0,313.7,1511.857,473902.0834,1217
1693872000000,2023-09-05,LTCBRL,316.3,317.0,312.3,315.0,1143.285,359849.8401,997
1693785600000,2023-09-04,LTCBRL,318.8,323.4,311.7,316.5,1377.216,436884.0349,1093
1693699200000,2023-09-03,LTCBRL,321.6,323.2,317.6,318.9,767.927,245563.4888,676
1693612800000,2023-09-02,LTCBRL,313.2,322.3,312.8,321.9,751.844,239485.2488,741
1693526400000,2023-09-01,LTCBRL,318.9,319.8,308.0,313.4,1283.907,404187.9011,934
1693440000000,2023-08-31,LTCBRL,331.8,334.9,315.5,318.0,1480.665,482123.0834,1114
1693353600000,2023-08-30,LTCBRL,336.5,336.8,325.2,331.9,1376.548,455029.6711,1046
1693267200000,2023-08-29,LTCBRL,321.2,345.0,316.7,336.4,1961.109,651357.1892,1499
1693180800000,2023-08-28,LTCBRL,321.2,322.5,314.7,321.3,1051.735,336346.6053,1008
1693094400000,2023-08-27,LTCBRL,319.7,324.4,319.1,321.3,637.199,204573.1148,624
1693008000000,2023-08-26,LTCBRL,319.1,322.0,316.7,319.6,869.826,278400.5263,726
1692921600000,2023-08-25,LTCBRL,318.2,319.9,312.8,318.9,1106.076,350600.4709,971
1692835200000,2023-08-24,LTCBRL,321.7,322.4,313.9,318.2,807.153,257245.274,849
1692748800000,2023-08-23,LTCBRL,322.0,326.3,318.0,321.4,1185.653,382101.4923,991
1692662400000,2023-08-22,LTCBRL,336.0,337.1,310.0,321.0,1670.981,540414.2798,1330
1692576000000,2023-08-21,LTCBRL,328.4,338.2,323.2,335.1,2432.811,807857.1451,1528
1692489600000,2023-08-20,LTCBRL,322.3,331.3,322.1,328.2,737.496,240560.6763,1252
1692403200000,2023-08-19,LTCBRL,321.0,340.0,319.0,322.4,1331.605,429296.8259,1384
1692316800000,2023-08-18,LTCBRL,327.2,332.6,317.0,321.1,2218.85,721129.6711,2656
1692230400000,2023-08-17,LTCBRL,372.5,380.5,283.5,327.2,2498.99,865821.0592,2442
1692144000000,2023-08-16,LTCBRL,396.3,398.0,365.5,373.7,1572.826,600678.5385,1565
1692057600000,2023-08-15,LTCBRL,407.5,409.1,387.0,396.4,1337.981,538873.9393,1338
1691971200000,2023-08-14,LTCBRL,405.0,412.5,402.7,407.4,1094.393,447045.7748,979
1691884800000,2023-08-13,LTCBRL,411.6,413.0,400.2,405.3,997.108,407776.6133,838
1691798400000,2023-08-12,LTCBRL,411.0,413.3,410.4,411.6,801.915,330433.369,833
1691712000000,2023-08-11,LTCBRL,408.1,413.9,405.3,411.4,1060.748,433800.4739,899
1691625600000,2023-08-10,LTCBRL,414.6,416.1,404.2,407.6,1228.463,503225.729,1055
1691539200000,2023-08-09,LTCBRL,411.9,415.4,409.7,414.5,800.045,329977.9485,941
1691452800000,2023-08-08,LTCBRL,404.7,420.4,401.0,412.3,1461.387,600606.8415,1332
