Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BRL,tradecount
1696032000000,2023-09-30,SOLBRL,102.3,109.9,101.4,107.7,4948.87,523593.618,739
1695945600000,2023-09-29,SOLBRL,100.7,103.0,100.1,102.0,4481.03,455472.111,729
1695859200000,2023-09-28,SOLBRL,96.5,100.9,96.3,100.8,3964.74,389727.095,549
1695772800000,2023-09-27,SOLBRL,94.9,97.5,94.4,96.6,2939.37,282228.666,492
1695686400000,2023-09-26,SOLBRL,96.7,97.1,94.6,94.9,2924.25,280091.939,447
1695600000000,2023-09-25,SOLBRL,96.2,98.2,95.1,96.7,2336.23,226281.422,485
1695513600000,2023-09-24,SOLBRL,96.8,97.7,95.5,96.2,1378.5,133509.348,296
1695427200000,2023-09-23,SOLBRL,96.6,97.2,95.9,96.6,1773.44,171196.563,305
1695340800000,2023-09-22,SOLBRL,96.6,97.9,95.3,96.3,2926.72,282845.539,444
1695254400000,2023-09-21,SOLBRL,99.5,99.5,95.6,96.6,4326.43,419189.886,593
1695168000000,2023-09-20,SOLBRL,98.1,100.3,97.0,99.5,3323.96,327563.17,746
1695081600000,2023-09-19,SOLBRL,96.5,99.5,95.7,98.1,2921.62,285849.422,581
1694995200000,2023-09-18,SOLBRL,92.3,98.2,91.2,96.1,4105.73,392496.093,843
1694908800000,2023-09-17,SOLBRL,93.3,93.8,91.6,92.2,1090.66,101289.49,325
1694822400000,2023-09-16,SOLBRL,93.7,95.0,92.5,93.8,1773.61,166237.203,370
1694736000000,2023-09-15,SOLBRL,92.4,95.1,90.9,93.8,2680.93,249164.919,621
1694649600000,2023-09-14,SOLBRL,91.1,95.4,91.1,92.6,4091.91,381579.448,813
1694563200000,2023-09-13,SOLBRL,89.3,92.0,88.1,91.1,3160.84,285069.174,580
1694476800000,2023-09-12,SOLBRL,87.9,92.9,87.1,89.1,4057.02,364436.116,824
1694390400000,2023-09-11,SOLBRL,91.5,92.4,86.4,88.0,4964.28,438189.316,1059
1694304000000,2023-09-10,SOLBRL,97.6,97.6,89.7,91.3,5895.57,545329.052,1147
1694217600000,2023-09-09,SOLBRL,98.2,98.3,97.3,97.6,1285.47,125653.162,327
1694131200000,2023-09-08,SOLBRL,99.5,101.2,97.1,98.3,3185.6,313983.596,713
1694044800000,2023-09-07,SOLBRL,98.0,100.0,96.7,99.6,2960.18,291385.553,633
1693958400000,2023-09-06,SOLBRL,101.1,101.6,95.8,98.1,4123.01,405076.227,870
1693872000000,2023-09-05,SOLBRL,96.8,102.8,94.8,101.1,4831.95,481501.371,926
1693785600000,2023-09-04,SOLBRL,97.6,99.8,95.1,96.6,2644.7,256513.227,538
1693699200000,2023-09-03,SOLBRL,97.1,97.9,96.1,97.7,956.22,92869.797,285
1693612800000,2023-09-02,SOLBRL,96.2,98.0,95.5,97.0,1875.78,181551.527,384
1693526400000,2023-09-01,SOLBRL,98.3,99.3,94.5,96.0,2976.66,288855.05,769
1693440000000,2023-08-31,SOLBRL,102.1,103.1,96.9,98.2,4591.93,460960.764,876
1693353600000,2023-08-30,SOLBRL,106.8,107.2,100.8,102.3,3096.03,320472.362,564
1693267200000,2023-08-29,SOLBRL,101.0,107.7,98.5,106.5,4944.03,515800.791,825
1693180800000,2023-08-28,SOLBRL,101.9,102.0,98.6,100.7,2345.64,236136.103,544
1693094400000,2023-08-27,SOLBRL,99.7,102.7,99.5,102.1,2929.29,298039.562,400
1693008000000,2023-08-26,SOLBRL,99.8,100.5,99.1,99.8,1670.34,166634.975,422
1692921600000,2023-08-25,SOLBRL,103.2,103.2,98.3,99.9,2703.97,272568.735,618
1692835200000,2023-08-24,SOLBRL,106.5,107.6,101.6,103.2,2119.1,220771.544,536
1692748800000,2023-08-23,SOLBRL,102.3,106.5,101.1,106.5,2683.57,278941.102,683
1692662400000,2023-08-22,SOLBRL,106.1,106.3,96.5,102.3,3244.03,328476.27,855
1692576000000,2023-08-21,SOLBRL,109.6,109.7,102.5,106.2,2780.54,295548.762,733
1692489600000,2023-08-20,SOLBRL,109.9,110.8,108.6,109.4,824.43,90507.14,309
1692403200000,2023-08-19,SOLBRL,107.0,111.3,107.0,110.2,1869.02,203839.031,457
1692316800000,2023-08-18,SOLBRL,108.9,111.9,104.4,107.2,4201.17,456874.802,907
